ubigeo_reniec,ubigeo_inei,departamento,provincia,distrito_reniec,distrito_inei
130101,140101,Lambayeque,Chiclayo,Chiclayo,Chiclayo
130102,140102,Lambayeque,Chiclayo,Chongoyape,Chongoyape
130103,140103,Lambayeque,Chiclayo,Eten,Eten
130104,140104,Lambayeque,Chiclayo,Eten Puerto,Eten Puerto
130105,140107,Lambayeque,Chiclayo,Lagunas,Lagunas
130106,140108,Lambayeque,Chiclayo,Monsefú,Monsefu
130107,140109,Lambayeque,Chiclayo,Nueva Arica,Nueva Arica
130108,140110,Lambayeque,Chiclayo,Oyotun,Oyotun
130109,140111,Lambayeque,Chiclayo,Picsi,Picsi
130110,140112,Lambayeque,Chiclayo,Pimentel,Pimentel
130111,140113,Lambayeque,Chiclayo,Reque,Reque
130112,140105,Lambayeque,Chiclayo,José Leonardo Ortiz,José Leonardo Ortiz
130113,140114,Lambayeque,Chiclayo,Santa Rosa,Santa Rosa
130114,140115,Lambayeque,Chiclayo,Saña,Saña
130115,140106,Lambayeque,Chiclayo,La Victoria,La Victoria
130116,140116,Lambayeque,Chiclayo,Cayaltí,Cayalti
130117,140117,Lambayeque,Chiclayo,Patapo,Patapo
130118,140118,Lambayeque,Chiclayo,Pomalca,Pomalca
130119,140119,Lambayeque,Chiclayo,Pucalá,Pucala
130120,140120,Lambayeque,Chiclayo,Tumán,Tuman
130201,140201,Lambayeque,Ferreñafe,Ferreñafe,Ferreñafe
130202,140203,Lambayeque,Ferreñafe,Incahuasi,Incahuasi
130203,140202,Lambayeque,Ferreñafe,Cañaris,Cañaris
130204,140205,Lambayeque,Ferreñafe,Pitipo,Pitipo
130205,140206,Lambayeque,Ferreñafe,Pueblo Nuevo,Pueblo Nuevo
130206,140204,Lambayeque,Ferreñafe,Manuel Antonio Mesones Muro,Manuel Antonio Mesones Muro
130301,140301,Lambayeque,Lambayeque,Lambayeque,Lambayeque
130302,140302,Lambayeque,Lambayeque,Chochope,Chochope
130303,140303,Lambayeque,Lambayeque,Illimo,Illimo
130304,140304,Lambayeque,Lambayeque,Jayanca,Jayanca
130305,140305,Lambayeque,Lambayeque,Mochumi,Mochumi
130306,140306,Lambayeque,Lambayeque,Morrope,Morrope
130307,140307,Lambayeque,Lambayeque,Motupe,Motupe
130308,140308,Lambayeque,Lambayeque,Olmos,Olmos
130309,140309,Lambayeque,Lambayeque,Pacora,Pacora
130310,140310,Lambayeque,Lambayeque,Salas,Salas
130311,140311,Lambayeque,Lambayeque,San José,San José
130312,140312,Lambayeque,Lambayeque,Túcume,Tucume
